title,directions,NER
No-Bake Nut Cookies,"[""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]","[""bite size shredded rice biscuits"", ""vanilla"", ""brown sugar"", ""nuts"", ""milk"", ""butter""]"
Jewell Ball'S Chicken,"[""Place chipped beef on bottom of baking dish."", ""Place chicken on top of beef."", ""Mix soup and cream together; pour over chicken. Bake, uncovered, at 275\u00b0 for 3 hours.""]","[""cream of mushroom soup"", ""beef"", ""sour cream"", ""chicken breasts""]"
Creamy Corn,"[""In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings.""]","[""frozen corn"", ""pepper"", ""cream cheese"", ""garlic powder"", ""butter"", ""salt""]"
Chicken Funny,"[""Boil and debone chicken."", ""Put bite size pieces in average size square casserole dish."", ""Pour gravy and cream of mushroom soup over chicken; level."", ""Make stuffing according to instructions on box (do not make too moist)."", ""Put stuffing on top of chicken and gravy; level."", ""Sprinkle shredded cheese on top and bake at 350\u00b0 for approximately 20 minutes or until golden and bubbly.""]","[""chicken gravy"", ""cream of mushroom soup"", ""chicken"", ""shredded cheese""]"
Reeses Cups(Candy)  ,"[""Combine first four ingredients and press in 13 x 9-inch ungreased pan."", ""Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard."", ""Keep in refrigerator.""]","[""graham cracker crumbs"", ""powdered sugar"", ""peanut butter"", ""chocolate chips"", ""butter""]"
Cheeseburger Potato Soup,"[""Wash potatoes; prick several times with a fork."", ""Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes."", ""The potatoes should be soft, ready to eat."", ""Let them cool enough to handle."", ""Cut in half lengthwise; scoop out pulp and reserve."", ""Discard shells."", ""Brown ground beef until done."", ""Drain any grease from the meat."", ""Set aside when done."", ""Meat will be added later."", ""Melt butter in a large kettle over low heat; add flour, stirring until smooth."", ""Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly."", ""Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon."", ""Cook until heated (do not boil)."", ""Stir in sour cream if desired; cook until heated (do not boil)."", ""Sprinkle with remaining cheese, bacon and green onions.""]","[""sour cream"", ""bacon"", ""pepper"", ""extra lean ground beef"", ""cheddar cheese"", ""green onion"", ""baking potatoes"", ""milk"", ""butter"", ""salt""]"
Rhubarb Coffee Cake,"[""Cream sugar and butter."", ""Add egg and beat well."", ""To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda."", ""Mix well."", ""Add rhubarb and vanilla."", ""Pour into greased 9 x 13-inch pan and add Topping.""]","[""buttermilk"", ""egg"", ""sugar"", ""vanilla"", ""soda"", ""flour"", ""rhubarb"", ""butter"", ""salt""]"
Scalloped Corn,"[""Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish."", ""Dot with remaining 4 teaspoons of butter."", ""Bake at 350\u00b0 for 1 hour.""]","[""egg"", ""pepper"", ""crackers"", ""cream-style corn"", ""whole kernel corn"", ""butter""]"
Nolan'S Pepper Steak,"[""Roll steak strips in flour."", ""Brown in skillet."", ""Salt and pepper."", ""Combine tomato liquid, water, onions and browned steak. Cover and simmer for one and a quarter hours."", ""Uncover and stir in Worcestershire sauce."", ""Add tomatoes, green peppers and simmer for 5 minutes."", ""Serve over hot cooked rice.""]","[""oil"", ""tomatoes"", ""green peppers"", ""water"", ""onions"", ""worcestershire sauce""]"
Millionaire Pie,"[""Empty Cool Whip into a bowl."", ""Drain juice from pineapple."", ""Mix Cool Whip and pineapple."", ""Add condensed milk."", ""Squeeze lemons, remove seeds and add to Cool Whip and pineapple."", ""Chop nuts into small pieces and add to mixture."", ""Stir all ingredients together and mix well."", ""Pour into a graham cracker crust."", ""Use top from crust to cover top of pie."", ""Chill overnight."", ""Makes 2 pies.""]","[""condensed milk"", ""lemons"", ""graham cracker crusts"", ""pecans"", ""pineapple""]"
Double Cherry Delight,"[""Drain cherries, measuring syrup."", ""Cut cherries in half."", ""Add ginger ale and enough water to syrup to make 1 1/2 cups."", ""Dissolve gelatin in boiling water."", ""Add measured liquid and almond extract. Chill until very thick."", ""Fold in marshmallows and the cherries. Spoon into 6-cup mold."", ""Chill until firm, at least 4 hours or overnight."", ""Unmold."", ""Makes about 5 1/3 cups.""]","[""flavor gelatin"", ""dark sweet pitted cherries"", ""marshmallows"", ""ginger ale"", ""almond extract"", ""boiling water""]"
Buckeye Candy,"[""Mix sugar, butter and peanut butter."", ""Roll into balls and place on cookie sheet."", ""Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler."", ""Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.""]","[""paraffin"", ""powdered sugar"", ""peanut butter"", ""chocolate chips"", ""butter""]"
Quick Barbecue Wings,"[""Clean wings."", ""Flour and fry until done."", ""Place fried chicken wings in microwave bowl."", ""Stir in barbecue sauce."", ""Microwave on High (stir once) for 4 minutes.""]","[""flour"", ""chicken"", ""barbecue sauce""]"
Taco Salad Chip Dip,"[""Mix taco sauce, sour cream and cream cheese."", ""Spread on pizza pan."", ""Brown meat."", ""Drain off fat and add taco seasoning."", ""Spread over cream mixture."", ""Layer with raw vegetables."", ""Top with cheese. Serve with chips.""]","[""sour cream"", ""tomato"", ""shredded lettuce"", ""cheddar cheese"", ""onion"", ""cream cheese"", ""taco sauce"", ""taco seasoning"", ""ground beef"", ""green pepper""]"
Pink Stuff(Frozen Dessert)  ,"[""Mix all ingredients together."", ""Pour into a 9 x 13-inch pan. Freeze until firm."", ""Allow to set out approximately 15 minutes before serving.""]","[""condensed milk"", ""pie filling"", ""pineapple"", ""lemon juice""]"
Fresh Strawberry Pie,"[""Mix water, cornstarch, sugar and salt in saucepan."", ""Stir constantly and boil until thick and clear."", ""Remove from heat and stir in jello."", ""Set aside to cool."", ""But don't allow it to set. Layer strawberries in baked crust."", ""Pour cooled glaze over. Continue layering berries and glaze."", ""Refrigerate."", ""Serve with whipped cream.""]","[""sugar"", ""shell"", ""water"", ""cleaned strawberries"", ""cornstarch"", ""strawberry jello"", ""salt""]"
Easy German Chocolate Cake,"[""Mix according to directions and add oil."", ""Bake in 9 x 13-inch pan.""]","[""chocolate fudge cake"", ""white cake"", ""wesson oil""]"
Broccoli Salad,"[""Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.""]","[""bacon"", ""vinegar"", ""sugar"", ""green onions"", ""raisins"", ""mayonnaise"", ""broccoli""]"
Strawberry Whatever,"[""Mix Jell-O in boiling water."", ""Add strawberries, pineapple, crushed bananas and nuts."", ""Spread 1/2 mixture in 13 x 6 1/2-inch pan."", ""Allow to gel in freezer 30 minutes."", ""Add layer of sour cream, then remaining mixture on top."", ""Gel and serve.""]","[""sour cream"", ""frozen strawberries"", ""strawberry"", ""pecans"", ""bananas"", ""boiling water"", ""pineapple""]"
Eggless Milkless Applesauce Cake,"[""Mix Crisco with applesauce, nuts and raisins."", ""Sift dry ingredients and add."", ""Mix well."", ""Put in a greased and floured loaf pan or tube pan."", ""Bake in loaf pan at 350\u00b0 to 375\u00b0 for 45 to 60 minutes, layer pan at 375\u00b0 for 20 minutes or tube pan at 325\u00b0 for 1 hour.""]","[""sugar"", ""shortening"", ""cinnamon"", ""soda"", ""applesauce"", ""raisins"", ""flour"", ""nuts""]"
"Grandma Hanrath'S Banana Breadfort Collins, Colorado  ","[""Cream sugar and shortening."", ""Add eggs, salt and soda, then bananas and flour."", ""Add nuts."", ""Mix well."", ""Bake in loaf pan at 350\u00b0 for 1 hour.""]","[""sugar"", ""shortening"", ""eggs"", ""soda"", ""bananas"", ""flour"", ""nuts"", ""salt""]"
Chocolate Frango Mints,"[""Mix ingredients together for 5 minutes."", ""Scrape bowl often. Last fold in chocolate chip mints."", ""Bake at 350\u00b0 for 35 to 40 minutes or until done (cake mix directions).""]","[""sour cream"", ""frango"", ""cake mix"", ""eggs"", ""chocolate fudge pudding"", ""wesson oil"", ""water""]"
Cuddy Farms Marinated Turkey,"[""Buy whole turkey breast; remove all skin and bones. Cut into pieces about the size of your hand. Pour marinade over turkey and refrigerate for at least 8 hours (up to 48 hours). The longer it marinates, the less cooking time it takes.""]","[""garlic"", ""vegetable oil"", ""soy sauce""]"
Spaghetti Sauce To Can,"[""Cook ground or chopped peppers and onions in oil for 1/2 hour. Cook tomatoes and garlic as for juice."", ""Put through the mill."", ""(I use a food processor and do my tomatoes uncooked."", ""I then add the garlic right to the juice.)"", ""Add peppers and onions to juice and remainder of ingredients."", ""Cook approximately 1 hour."", ""Put in jars and seal."", ""Yields 7 quarts.""]","[""oil"", ""oregano"", ""sugar"", ""tomatoes"", ""tomato paste"", ""italian seasoning"", ""peppers"", ""sweet basil"", ""garlic"", ""salt""]"
Prize-Winning Meat Loaf,"[""Mix well."", ""Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan."", ""Bake in preheated moderate oven."", ""Bake at 350\u00b0 for 1 hour."", ""Let stand 5 minutes before slicing."", ""Makes 8 servings.""]","[""egg"", ""tomato juice"", ""pepper"", ""oats"", ""onion"", ""ground beef"", ""salt""]"
Smothered Round Steak(Servings: 4)  ,"[""Alex Patout says, \""Smothering is a multipurpose Cajun technique that works wonders with everything from game to snap beans."", ""It's similar to what the rest of the world knows as braising."", ""The ingredients are briefly browned or sauteed, then cooked with a little liquid over a low heat for a long time.\""""]","[""beef stock"", ""ground red pepper"", ""steak"", ""bell peppers"", ""celery"", ""flour"", ""ground white pepper"", ""ground black pepper"", ""onions"", ""vegetable oil"", ""salt""]"
Corral Barbecued Beef Steak Strips,"[""Brown strips in cooking oil."", ""Pour off drippings."", ""Combine tomato sauce, water, brown sugar, mustard and Worcestershire sauce."", ""Add sauce and onion to meat slices."", ""Cover and cook slowly, stirring occasionally 30 minutes or until meat is tender. Serve over rice or buttered noodles."", ""Yields 6 to 8 servings.""]","[""brown sugar"", ""cooking oil"", ""onion"", ""water"", ""long"", ""mustard"", ""worcestershire sauce"", ""tomato sauce""]"
Easy Fudge,"[""Butter a square pan, 8 x 8 x 2-inches."", ""Heat milk, chocolate chips and unsweetened chocolate over low heat, stirring constantly, until chocolate is melted and mixture is smooth. Remove from heat."", ""Stir in nuts and vanilla."", ""Spread in pan.""]","[""condensed milk"", ""vanilla"", ""nuts"", ""unsweetened chocolate"", ""semi-sweet chocolate chips""]"
Taco-Filled Green Pepper,"[""In a large skillet, brown the ground beef. Drain, stir in taco mix, kidney beans, and salsa. Bring to a boil. Reduce heat, and let simmer for about 5 minutes. Cut peppers in half and clean it. Put peppers in boiling water for 3 minutes- drain- spoon the meat mixture into the green pepper. Put pepper in an ungreased pan. Cover, and bake at 350 degrees for 15 to 20 minutes or until peppers are crispy and filling is heated through. Top with tomatoes, cheese, and sour cream.""]","[""tomato"", ""sour cream"", ""green peppers"", ""cheddar cheese"", ""onion"", ""salsa"", ""taco seasoning"", ""beans"", ""ground beef""]"
One Hour Rolls,"[""Put flour into a large mixing bowl."", ""Combine sugar, milk, salt and oil in a saucepan and heat to boiling; remove from heat and let cool to lukewarm."", ""Add yeast and mix well."", ""Pour into flour and stir."", ""Batter will be sticky."", ""Roll out batter on a floured board and cut with biscuit cutter."", ""Lightly brush tops with melted oleo and fold over."", ""Place rolls on a cookie sheet, put in a warm place and let rise for 1 hour."", ""Bake at 350\u00b0 for about 20 minutes. Yield: 2 1/2 dozen.""]","[""sugar"", ""milk"", ""flour"", ""yeast"", ""crisco oil"", ""salt""]"
Punch Bowl Fruit Salad,"[""In a 6-quart punch bowl mix all of the cans of fruit, juice and all."", ""Clean and slice berries."", ""Wash and slice apples; leave peeling on apples."", ""Dice apples."", ""Slice bananas."", ""Wash and cut grapes in half."", ""Mix all together."", ""Nuts or other fruit may be added.""]","[""yellow apples"", ""purple grapes"", ""fresh strawberries"", ""fruit cocktail"", ""bananas"", ""red apples"", ""white grapes"", ""peaches"", ""pineapple""]"
Summer Chicken,"[""Double recipe for more chicken.""]","[""oil"", ""oregano"", ""red vinegar"", ""garlic salt"", ""chicken cutlets""]"
Cherry Pizza,"[""Grease a 9 x 12-inch cake pan."", ""Spread cherry pie mix."", ""Sift cake mix and spread it dry over the cherries."", ""Top with ground nuts."", ""Melt butter and pour over top."", ""Bake 45 minutes in a 350\u00b0 oven.""]","[""cherry pie mix"", ""deluxe white cake mix"", ""butter"", ""ground nuts""]"
Potato And Cheese Pie,"[""Beat eggs, salt and pepper until well blended."", ""Stir in half and half, potatoes and onions."", ""Pour into well-greased 8-inch baking dish."", ""Bake in a 400\u00b0 oven for 35 to 40 minutes, or until knife inserted in center comes out clean and potatoes are tender. Cool on rack 5 minutes; cut into squares."", ""Makes 4 large servings.""]","[""potatoes"", ""pepper"", ""green onions"", ""eggs"", ""cheddar cheese"", ""salt""]"
Tuna Macaroni Casserole,"[""Prepare macaroni and cheese as directed."", ""Add drained tuna, pimento and onion."", ""Mix."", ""Serve hot or cold.""]","[""tuna"", ""pimentos"", ""onion"", ""macaroni""]"
Artichoke Dip,"[""Drain artichokes and chop."", ""Mix with mayonnaise and Parmesan cheese."", ""After well mixed, bake, uncovered, for 20 to 30 minutes at 350\u00b0."", ""Serve with crackers.""]","[""mayonnaise"", ""parmesan cheese"", ""hearts""]"
Broccoli Dip For Crackers,"[""Mix together sour cream, soup mix, broccoli and half of cheese."", ""Sprinkle remaining cheese on top."", ""Bake at 350\u00b0 for 30 minutes, uncovered."", ""Serve hot with vegetable crackers.""]","[""sour cream"", ""cheddar cheese"", ""broccoli"", ""vegetable soup mix""]"
Summer Spaghetti,"[""Prepare spaghetti per package."", ""Drain."", ""Melt a little butter through it."", ""Marinate overnight in Salad Supreme and Zesty Italian dressing."", ""Just before serving, add cucumbers, tomatoes, green peppers, mushrooms, olives or whatever your taste may want.""]","[""salad supreme"", ""italian dressing""]"
Pear-Lime Salad,"[""Drain pears, reserving juice."", ""Bring juice to a boil, stirring constantly."", ""Remove from heat."", ""Add gelatin, stirring until dissolved."", ""Let cool slightly."", ""Coarsely chop pear halves. Combine cream cheese and yogurt; beat at medium speed of electric mixer until smooth."", ""Add gelatin and beat well."", ""Stir in pears."", ""Pour into an oiled 4-cup mold or Pyrex dish."", ""Chill.""]","[""lemon yogurt"", ""lime gelatin"", ""pear halves"", ""cream cheese""]"
Watermelon Rind Pickles,"[""Trim off green and pink parts of watermelon rind; cut to 1-inch cubes."", ""Parboil until tender, but not soft."", ""Drain. Combine sugar, vinegar, oil of cloves and oil of cinnamon; bring to boiling and pour over rind."", ""Let stand overnight."", ""In the morning, drain off syrup."", ""Heat and put over rind."", ""The third morning, heat rind and syrup; seal in hot, sterilized jars."", ""Makes 8 pints."", ""(Oil of cinnamon and clove keeps rind clear and transparent.)""]","[""oil"", ""sugar"", ""oil of cinnamon"", ""apple vinegar"", ""watermelon rind""]"
Chicken Stew,"[""Remove chicken from bone."", ""Use the broth."", ""Mix the vegetables and macaroni."", ""Add sugar, salt and black pepper."", ""Cook until all vegetables are tender over medium heat.""]","[""potatoes"", ""peas"", ""corn"", ""sugar"", ""tomatoes"", ""macaroni"", ""black pepper"", ""butter beans"", ""english peas"", ""onions"", ""tomato juice"", ""chicken"", ""salt""]"
Quick Coffee Cake(6 Servings)  ,"[""Mix 3 tablespoons fat with granulated sugar."", ""Add egg and beat until creamy."", ""Mix flour, baking powder and salt thoroughly."", ""Add to sugar mixture alternately with milk."", ""Add vanilla. Spread batter evenly in a greased 8-inch square baking pan."", ""Mix brown sugar and cinnamon and sprinkle over batter."", ""Dot with 2 tablespoons fat."", ""Bake at 350\u00b0 (moderate oven) for 25 to 30 minutes.""]","[""egg"", ""baking powder"", ""sugar"", ""vanilla"", ""brown sugar"", ""cinnamon"", ""flour"", ""milk"", ""butter"", ""salt""]"
Angel Biscuits,"[""Mix flour, sugar, baking powder, soda and salt together."", ""Cut in margarine, dissolve yeast in warm water."", ""Stir into buttermilk and add to dry mixture."", ""Cover and chill.""]","[""buttermilk"", ""baking powder"", ""sugar"", ""warm water"", ""soda"", ""flour"", ""margarine"", ""yeast""]"
Quick Peppermint Puffs,"[""Dip marshmallows in melted margarine; roll in candy. Wrap a crescent triangle around each marshmallow, completely covering the marshmallow and square edges of dough tightly to seal."", ""Dip in margarine and place in a greased muffin tin."", ""Bake at 375\u00b0 for 10 to 15 minutes; remove from pan.""]","[""peppermint candy"", ""margarine"", ""crescent rolls"", ""marshmallows""]"
Fruit Pizza,"[""Mix ingredients and spread into 2 greased pizza pans."", ""Bake at 350\u00b0 for 15-20 minutes.""]","[""brown sugar"", ""eggs"", ""water"", ""nuts"", ""yellow cake mix"", ""butter""]"
Chocolate Mint Bars,"[""Mix together and bake in 9 x 13-inch pan at 350\u00b0 for 25 to 30 minutes."", ""Top should spring back when touched lightly; do not overbake."", ""Cool completely, then spread with mint layer.""]","[""oleo"", ""sugar"", ""chocolate syrup"", ""eggs"", ""flour""]"
Beer Bread,"[""Stir the ingredients together and put in a greased and floured loaf pan."", ""Bake at 425 degrees for 50 minutes."", ""Drizzle melted butter on top.""]","[""flour"", ""sugar"", ""beer""]"
Chicken Divan,"[""Melt margarine in skillet; saute onions and celery."", ""Remove from heat."", ""Stir in flour and curry powder."", ""Drain mushrooms and keep juice."", ""Add water to juice to make 1/2 cup liquid."", ""Stir liquid and soup into flour mixture; add mushrooms."", ""Cook until thick."", ""Arrange broccoli and cubed chicken in a large baking dish. Spoon sauce over chicken."", ""Top with grated cheese."", ""Bake in a 350\u00b0 oven for about 20 minutes or in microwave until cheese is melted.""]","[""curry powder"", ""onion"", ""mushrooms"", ""celery"", ""flour"", ""margarine"", ""cream of celery soup"", ""broccoli"", ""cheese"", ""chicken""]"
Mexican Cookie Rings,"[""Sift flour, baking powder and salt together."", ""Cream together butter and sugar."", ""Add egg yolks and vanilla."", ""Beat until light and fluffy."", ""Mix in sifted dry ingredients."", ""Shape into 1-inch balls."", ""Push wooden spoon handle through center (twist)."", ""Shape into rings."", ""Dip each cookie into candies."", ""Place on lightly greased baking sheets."", ""Bake in 375\u00b0 oven for 10 to 12 minutes or until golden brown."", ""Cool on racks."", ""Serves 2 dozen.""]","[""egg yolks"", ""sugar"", ""baking powder"", ""vanilla"", ""flour"", ""multi-colored candies"", ""butter"", ""salt""]"
Vegetable-Burger Soup,"[""Lightly brown beef in soup pot."", ""Drain off excess fat."", ""Stir in tomatoes, tomato sauce, water, frozen vegetables, soup mix and sugar."", ""Bring to a boil."", ""Reduce heat and simmer for 20 minutes. Serve.""]","[""frozen mixed vegetables"", ""sugar"", ""tomatoes"", ""onion soup"", ""water"", ""ground beef"", ""tomato sauce""]"
Chicken Ole,"[""Dice chicken."", ""Mix all ingredients together."", ""Let sit overnight."", ""Bake 1 1/2 hours at 375\u00b0.""]","[""green chilies"", ""cream of chicken soup"", ""green chili salsa sauce"", ""chicken breasts"", ""cream of mushroom soup"", ""onion"", ""corn tortilla"", ""milk""]"
Creamy Coleslaw(Better Homes And Gardens)  ,"[""In a large bowl, combine cabbage, carrot, green pepper and onion or can use package of slaw mix purchased from store.""]","[""cabbage"", ""vinegar"", ""sugar"", ""onion"", ""celery"", ""mayonnaise"", ""carrots"", ""green pepper"", ""salt""]"
Creole Flounder,"[""Heat oven to 500\u00b0."", ""Place fillets in single layer in baking dish, 13 1/2 x 9 x 2-inch."", ""Stir together remaining ingredients except pepper rings. Spoon over fillets."", ""Bake 5 to 8 minutes or until fish flakes easily with fork."", ""Remove fillets to warm platter. Garnish with green pepper rings. Makes 4 to 6 servings.""]","[""tomatoes"", ""lemon juice"", ""salad oil"", ""onion"", ""drops red pepper sauce"", ""basil"", ""ground black pepper"", ""flounder"", ""green pepper"", ""salt""]"
